Produk;Harga Pokok;Harga Jual;Stok;Grup Produk;Satuan;Barcode;Kode Produk;Non Stok
234 12;1;193000;0;4;9;8999909000605;2341 Slop;1
234 12;0;19400;0;4;4;8999909028234;2341 Pak;1
234 12 Edisi;0;19300;0;4;4;8999909000629;34e Pak;1
234 12 Edisi;0;192500;0;4;9;8999909000698;34e Slop;1
234 16;0;25500;0;4;12;8999909010567;23416 Pak;1
234 16;0;255000;0;4;9;8999909005860;23416 Slop;1
234 Refil;0;213000;0;4;9;8999909038899;234rfl Slop;1
234 Refil;0;21400;0;4;4;8999909028999;234rfl Pak;1
234 Refil tepak;0;25000;0;;;8999909012516;Biji;1
76 10;0;112000;0;4;9;8991906151762;7610 Slop;1
76 10;0;11250;0;4;4;8991906101767;7610 Pak;1
76 12;0;15600;0;4;4;8991906101668;7612 Pak;1
76 12 ;0;156000;0;4;9;8991906151663;7612 Slop;1
76 16;0;21000;0;4;4;8991906101729;7616 Pak;1
76 16;0;209000;0;4;9;8991906151724;7616 Slop;1
76 Apel;13500;13600;0;;;8991906106250;;1
76 Apel;0;137000;0;;9;;Slop;1
76 Apel Royal;0;14650;0;;12;8991906106311;Aplryl Biji;1
76 Apel Royal;0;146000;0;;;8991906156316;Aplryl Slop;1
76 Kurma;0;14300;0;4;12;8991906101781;76k Pak;1
76 Madu;0;13650;0;4;4;8991906101774;76md Pak;1
76 Madu;0;136000;0;;9;8991906151779;76md Slop;1
76 Mangga;0;14500;0;4;4;8991906101811;76mgg Pak;1
76 Mangga;0;145000;0;4;9;8991906151816;76mgg Slop;1
76 Nanas;0;13600;0;;4;8991906102511;76nns Pak;1
76 Nanas;0;136000;0;;9;8991906152516;76nns Slop;1
76 Royal;0;15500;0;;;8991906106182;Pak;1
76 Royal;0;155000;0;;9;8991906156187;Slop;1
A Mild Edition;0;290000;0;4;9;8999909006959;Amldedtn Slop;1
A Mild Edition;0;29000;0;4;4;8999909006942;Amldedtn Pak;1
A Mild Lama;0;33750;0;4;12;8999909096004;Amld Pak;1
Abc Kcl;0;9000;0;16;4;86828680;Abckcl Pak;1
Abc Kcl;0;54000;0;16;14;8886022830243;Abckcl Dos;1
Abc Remot Biru;0;21000;0;16;18;8886022941802;Abcrmt Ret;1
Abc Remot Hitam;0;26000;0;16;18;8886022941123;Abcrmt Ret;1
Abc botol kaca;17750;18000;0;;12;711844120013;Biji;1
Abon;0;4250;0;12;12;68888343;Abn Biji;1
