nama,harga_beli,harga_jual,stok,satuan,barcode,kode
234 12,1,193000,0,Slop,8999909000605,2341 Slop
234 12,0,19400,0,Pak,8999909028234,2341 Pak
234 12 Edisi,0,19300,0,Pak,8999909000629,34e Pak
234 12 Edisi,0,192500,0,Slop,8999909000698,34e Slop
234 16,0,25500,0,Pak,8999909010567,23416 Pak
234 16,0,255000,0,Slop,8999909005860,23416 Slop
234 Refil,0,213000,0,Slop,8999909038899,234rfl Slop
234 Refil,0,21400,0,Pak,8999909028999,234rfl Pak
234 Refil tepak,0,25000,0,Biji,8999909012516,Biji
76 10,0,112000,0,Slop,8991906151762,7610 Slop
76 10,0,11250,0,Pak,8991906101767,7610 Pak
76 12,0,15600,0,Pak,8991906101668,7612 Pak
76 12,0,156000,0,Slop,8991906151663,7612 Slop
76 16,0,21000,0,Pak,8991906101729,7616 Pak
76 16,0,209000,0,Slop,8991906151724,7616 Slop
76 Apel,13500,13600,0,Biji,8991906106250,
76 Apel,0,137000,0,Slop,,Slop
76 Apel Royal,0,14650,0,Biji,8991906106311,Aplryl Biji
76 Apel Royal,0,146000,0,Slop,8991906156316,Aplryl Slop
76 Kurma,0,14300,0,Pak,8991906101781,76k Pak
76 Madu,0,13650,0,Pak,8991906101774,76md Pak
76 Madu,0,136000,0,Slop,8991906151779,76md Slop
76 Mangga,0,14500,0,Pak,8991906101811,76mgg Pak
76 Mangga,0,145000,0,Slop,8991906151816,76mgg Slop
76 Nanas,0,13600,0,Pak,8991906102511,76nns Pak
76 Nanas,0,136000,0,Slop,8991906152516,76nns Slop
76 Royal,0,15500,0,Pak,8991906106182,Pak
76 Royal,0,155000,0,Slop,8991906156187,Slop
A Mild Edition,0,290000,0,Slop,8999909006959,Amldedtn Slop
A Mild Edition,0,29000,0,Pak,8999909006942,Amldedtn Pak
A Mild Lama,0,33750,0,Pak,8999909096004,Amld Pak
Abc Kcl,0,9000,0,Pak,86828680,Abckcl Pak
Abc Kcl,0,54000,0,Dos,8886022830243,Abckcl Dos
Abc Remot Biru,0,21000,0,Ret,8886022941802,Abcrmt Ret
Abc Remot Hitam,0,26000,0,Ret,8886022941123,Abcrmt Ret
Abc botol kaca,17750,18000,0,Biji,711844120013,Biji
Abon,0,4250,0,Biji,68888343,Abn Biji
Adem Sari,0,1900,0,Biji,8997239630103,Biji
Adem Sari Cingku,0,6500,0,Biji,8992772586030,Biji
Adem Sari Isi 24,0,51000,0,Pak,8992772122245,Pak
Adem Sari isi 8,0,17000,0,Pak,8997239630431,Pak
Adem sari,2150,2250,0,Biji,,Biji
Aga,0,155000,0,Slop,8999909000995,Slop
Aga,0,15550,0,Pak,8999909000988,Pak
Agar Satelit,0,28000,0,Dos,8992705025100,Dos
Agar Satelit,0,28000,0,Dos,8992705045108,Dos
Agar Satelit,0,28000,0,Dos,8992705015101,Dos
Agar Satelit,0,2400,0,Biji,,Biji
Agar Satelit Super,0,47000,0,Dos,8992705025025,Dos
Agar Satelit Super,0,4000,0,Biji,8992705021027,Biji
Agar Satelit Super,0,47000,0,Dos,8992705015026,Dos
Agar Satelit Super,0,4000,0,Biji,8992705011028,Biji
Agar Satelit Super,0,4000,0,Biji,8992705041025,Biji
Agar Satelit Super,0,47000,0,Dos,8992705045023,Dos
Aito,0,12000,0,Biji,8997219420038,Biji
Aks 12,0,14700,0,Pak,8998989500128,Pak
Aks 12,0,146500,0,Slop,8998989850049,Slop
Aks 16,0,16750,0,Pak,8998989500166,Pak
Aks Baru,0,145500,0,Pak,8998989501125,Pak
Alamo Bsr,0,35000,0,Dos,00000000,Dos
Alamo Bsr,0,3000,0,Biji,8993412101057,Biji
Alamo Tg,0,35000,0,Dos,01000009,Dos
Alamo Tg,0,1500,0,Biji,8993412101040,Biji
Alco,0,2000,0,Biji,,Biji
Ale Ale,0,20000,0,Dos,10868201,Alal Dos
Ale-Ale Ice Jeruk,1600,2000,0,Biji,8998866820837,Ale
Alfa Coklat,0,20000,0,Biji,8993037001046,Alfcklt Biji
Amplop,0,5000,0,Pak,8995757827241,Amplp Pak
Amplop,0,22000,0,Slop,68888596,Amp Slop
Amplop,0,5000,0,Pak,68888602,Pak
Amplop,1000,1000,0,Biji,,Biji
Amplop 3 Biji,0,500,0,Biji,,Amp Biji
Amplop Coklat Tali,900,1500,0,Biji,,Amptck Biji
Amplop Grandia,13500,14000,0,Pak,8997232810007,Ampgrn Pak
Amplop Grandia,135,200,0,Biji,,Ampgrnd Biji
Amplop Mini,0,4000,0,Pak,,Amplop Pak
Anais,0,25500,0,Biji,8992895141208,Ans Biji
Anak Mas,0,8500,0,Ret,089686033007,Ankms Ret
Anak Mas,0,8500,0,Ret,089686033021,Ankms Ret
Andalan,15000,16000,0,Pak,8997011200531,Andln Pak
Andalan,0,230000,0,Dos,,Dos
Anget Sari Ss Jahe,0,11000,0,Ret,8992933453119,Agtssj Ret
Anlene,0,26000,0,Ret,9415007040026,Anln Ret
Anlene Gold,0,30000,0,Ret,9415007056850,Anln Ret
Antalgin,0,4000,0,Bungkus,48888844,Antlg Rek
Antalgin,32500,37500,0,Dos,8993515361365,Antlgn Dos
Antangin,0,36000,0,Dos,8992003782347,Antgn Dos
Antangin,0,3100,0,Biji,8992003782354,Antgn Biji
Antangin Anak,0,9000,0,Dos,8992003783672,Antgna Dos
Antangin Permen,0,6250,0,Pak,8992003783375,Antgnp Pak
Antimo,0,4750,0,Pak,8993498210230,Antm Pak
Aoka,0,2000,0,Biji,8997225840035,Aka Biji
Aoka,0,2000,0,Biji,8997225840011,Biji
Aoka,0,2000,0,Biji,8997225840028,Biji
Aoka,0,2000,0,Biji,8997225840134,Biji
Aoka,0,2000,0,Biji,8997225840189,Biji
Aoka,0,115000,0,Dos,31190060,Aka Dos
Aoka,0,2000,0,Biji,8997225840264,Biji
Aoka,0,2000,0,Biji,01590005,Biji
Aoka Gulung,0,9000,0,Pak,,Aokg Pak
Apache 12,0,19200,0,Pak,8994729100245,Apc12 Pak
Apache 12,0,182000,0,Slop,8994729200242,Apc12 Slop
Apache 16,0,21500,0,Pak,8994729100122,Apc16 Pak
Apache 16,0,212000,0,Pak,8994729200129,Apc16 Pak
Aqua Bsr,0,52500,0,Dos,01100006,Dos
Aqua Bsr,0,4500,0,Biji,8886008101091,Biji
Aqua Tg,0,50000,0,Dos,01111002,Dos
Aqua Tg,0,2250,0,Biji,,Biji
Aquviva Kcl,0,19000,0,Slop,,Slop
Aquviva Kcl,0,850,0,Biji,(90)MD122882003700438,Biji
Aquviva Tg,0,2000,0,Biji,8998866632287,Biji
Aquviva Tg,0,23000,0,Slop,,Slop
Arang Bungkus,2000,2250,0,Pak,,Arang Bks
Arang Iket,4000,4500,0,Ikat,,Arang Iket
Ares,0,165000,0,Slop,18997207190131,Ars Slop
Ares,0,16500,0,Pak,8997207190134,Ars Pak
Arta Ijo,0,30000,0,Kg,11223290,Arti Kg
Arta Kupas,27000,30000,0,Kg,68888251,Artkps Kg
Asam Jawa,0,18500,0,Dos,11111191,Asmj Dos
Astor Singles,0,17500,0,Batang,8996001357088,Astrsgls Box
Atira 2000,16500,17000,0,Bal,,Bal
Atom 500,0,4250,0,Biji,,Atm5 Biji
Atom 5000,0,45000,0,Bal,38888854,Atm5 Bal
Atom Panda 5000,0,4600,0,Biji,,Atmp5 Biji
Atom Pusaka 5000,0,44000,0,Bal,,Atmp5 Bal
Atom Pusaka 5000,0,4500,0,Biji,8991004026924,Atmp5 Biji
Autan,5250,5500,0,Ret,8998899004105,Atn Ret
BMX Es Kopyor,33000,34000,0,Batang,,Bmxe
BMX Melon,33000,34000,0,Dos,,Bmxm Dus
BMX Ring Keju,33000,34000,0,Dos,,Bmxr Dus
Babalon,0,16500,0,Lembar,8992919025088,Bbl
Babol,0,10500,0,Pak,8991115012021,Bbl
Babol,0,10500,0,Pak,8990800016757,
Babol,0,10500,0,Pak,8990800019802,Pak
Baby Happy L1,0,76500,0,Dos,18998866500514,Dos
Baby Happy L1,0,10000,0,Ret,8998866500517,Ret
Baby Happy M1,0,10000,0,Ret,8998866500463,Ret
Baby Happy M1,0,76500,0,Dos,18998866500460,Dos
Baby Oil,0,11500,0,Biji,8998103004488,Bbyo Biji
Baby Oil b,11330,20000,0,Biji,8888103205018,Bbyo Biji
Baby Shake,0,17000,0,Pak,8997231030239,Bbys Pak
Baby Shake,0,67000,0,Dos,,Bbys Dos
Baby happy XL,10000,12000,0,Ret,,Ret
Baking Powder Rw,8000,8500,0,Pak,13130138,Bkngp Pak
Baking Powder Rw,0,850,0,Biji,8994326102383,Bkngp Biji
Balado,0,7000,0,Pak,,Jajan Pak
Balado,0,125000,0,Bal,,Jajan Bal
Balap,64000,66000,0,Dos,,Blp Dus
Balap,16000,17000,0,Bal,,Blp2 Bal
Balsem Lang Bsr,0,9000,0,Biji,8993176120028,Blsmlng Biji
Balsem Lang Kcl,0,5100,0,Biji,8993176120035,BlsmLng Biji
Balsem Lang Kcl,0,60000,0,Lusin,,Blsmlg Lusin
Bango 1000,0,10000,0,Ret,8999999533496,Bngo Ret
Bango Btl Tg,0,22000,0,Biji,8999999002503,Bngo
Barakat,3600,3750,0,Biji,,Bt
Basreng,35000,36000,0,Ikat,,Bsrng Iket
Basreng Dua Saudara,8750,9500,0,Pak,38888823,Bsrg
Batu Korek,0,9000,0,Pak,22000286,Btk Pak
